Indicator,Measure,Year,Jan-Mar (Provisional),Apr-Jun (Provisional),Jul-Sep (Provisional),Oct-Dec (Provisional),Year-to-Date (Provisional),County,URL
All Drug Non-fatal Overdose Hospitalizations,Count,2015.0,70,74,53,77,274,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2015&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015.0,9,15,15,28,67,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2015&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,6,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,5,10,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2015&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2015.0,6,8,5,4,23,St. Johns,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=55&ddlYear=2015&selTab=1
Opioid Overdose Deaths,Count,2015.0,1,3,2,0,6,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2015&selTab=1
Drug Overdose Deaths,Count,2015.0,2,3,2,1,8,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015.0,1,4,4,3,12,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015.0,10,8,12,13,43,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2015.0,10,10,11,10,41,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2015&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,6,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2015&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2015.0,<5,10,9,11,34,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2015&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,7,10,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2015&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2015&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2015.0,0,2,3,1,6,Bradford,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=4&ddlYear=2015&selTab=1
Opioid Overdose Deaths,Count,2017.0,0,1,0,0,1,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2017&selTab=1
Drug Overdose Deaths,Count,2017.0,1,1,1,0,3,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2017.0,1,0,0,1,2,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2017.0,1,7,2,11,21,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2017.0,5,<5,<5,5,15,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2017&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,<5,<5,<5,<5,<5,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2017&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,<5,<5,<5,<5,<5,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,<5,<5,<5,<5,<5,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2017.0,5,6,5,5,21,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2017&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017.0,<5,<5,<5,<5,6,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2017&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017.0,<5,<5,<5,<5,<5,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017.0,<5,<5,<5,<5,<5,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2017&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2017.0,0,0,1,0,1,Jefferson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=33&ddlYear=2017&selTab=1
Opioid Overdose Deaths,Count,2017.0,9,7,5,7,28,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2017&selTab=1
Drug Overdose Deaths,Count,2017.0,12,12,7,11,42,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2017.0,44,42,45,28,159,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2017&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2017.0,325,395,452,267,"1,439",Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2017.0,84,80,81,93,338,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2017&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,14,13,11,9,47,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2017&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,6,<5,<5,5,17,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2017.0,6,5,<5,7,22,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2017&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2017.0,63,84,105,71,323,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2017&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2017.0,15,28,21,12,76,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2017&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2017.0,<5,<5,<5,<5,<5,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2017&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2017.0,9,13,23,20,65,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2017&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2017.0,18,8,12,13,51,Alachua,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=1&ddlYear=2017&selTab=1
Opioid Overdose Deaths,Count,2016.0,0,1,0,1,2,Hardee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=25&ddlYear=2016&selTab=1
Drug Overdose Deaths,Count,2016.0,,2,,1,3,Hardee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=25&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2016.0,2,0,1,0,3,Hardee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=25&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2016.0,6,2,5,2,15,Hardee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=25&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2016.0,9,19,5,14,47,Hardee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=25&ddlYear=2016&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,<5,<5,<5,<5,6,Hardee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=25&ddlYear=2016&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,<5,<5,<5,<5,<5,Hardee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=25&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,<5,<5,<5,<5,<5,Hardee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=25&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2016.0,7,6,8,8,29,Hardee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=25&ddlYear=2016&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2016.0,<5,<5,<5,<5,<5,Hardee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=25&ddlYear=2016&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2016.0,<5,<5,<5,<5,<5,Hardee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=25&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2016.0,<5,<5,<5,<5,6,Hardee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=25&ddlYear=2016&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2016.0,1,0,1,1,3,Hardee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=25&ddlYear=2016&selTab=1
Opioid Overdose Deaths,Count,2015.0,0,0,0,1,1,Jackson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=32&ddlYear=2015&selTab=1
Drug Overdose Deaths,Count,2015.0,1,1,,2,4,Jackson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=32&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015.0,4,4,4,4,16,Jackson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=32&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015.0,8,21,16,21,66,Jackson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=32&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2015.0,27,29,21,35,112,Jackson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=32&ddlYear=2015&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,7,15,Jackson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=32&ddlYear=2015&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Jackson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=32&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,6,Jackson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=32&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2015.0,9,11,16,12,48,Jackson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=32&ddlYear=2015&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,10,Jackson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=32&ddlYear=2015&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Jackson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=32&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Jackson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=32&ddlYear=2015&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2015.0,3,1,1,1,6,Jackson,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=32&ddlYear=2015&selTab=1
Opioid Overdose Deaths,Count,2019.0,5,4,2,4,15.0,India River,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=31&ddlYear=2019&selTab=1
Drug Overdose Deaths,Count,2019.0,7,6,3,4,20.0,India River,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=31&ddlYear=2019&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2019.0,17,12,17,23,69.0,India River,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=31&ddlYear=2019&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2019.0,52,56,48,50,206.0,India River,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=31&ddlYear=2019&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2019.0,64,52,49,58,223.0,India River,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=31&ddlYear=2019&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,21,23,17,23,84.0,India River,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=31&ddlYear=2019&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,8,9,12,32.0,India River,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=31&ddlYear=2019&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2019.0,<5,<5,<5,<5,10.0,India River,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=31&ddlYear=2019&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2019.0,43,59,74,71,247.0,India River,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=31&ddlYear=2019&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2019.0,8,18,16,21,63.0,India River,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=31&ddlYear=2019&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,<5,<5,<5,8.0,India River,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=31&ddlYear=2019&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2019.0,<5,6,9,<5,23.0,India River,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=31&ddlYear=2019&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2019.0,6,10,11,12,39.0,India River,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=31&ddlYear=2019&selTab=1
Opioid Overdose Deaths,Count,2015.0,0,0,0,0,0,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2015.0,0,0,0,0,0,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2015&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2015.0,0,0,1,0,1,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2015.0,8,<5,5,<5,19,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2015&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2015&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2015.0,<5,<5,<5,<5,<5,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2015&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,7,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2015&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2015&selTab=1
Heroin-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2015&selTab=1
Stimulant-involved Non-fatal Overdose Hospitalizations,Count,2015.0,<5,<5,<5,<5,<5,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2015&selTab=1
Florida Poison Information Network Calls Related to Opioids,Count,2015.0,0,0,0,0,0,Calhoun,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=7&ddlYear=2015&selTab=1
Opioid Overdose Deaths,Count,2016.0,16,20.0,74,40.0,150,Manatee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=41&ddlYear=2016&selTab=1
Drug Overdose Deaths,Count,2016.0,22,26.0,83,51.0,182,Manatee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=41&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Opioid-involved Overdose,Count,2016.0,0,0.0,0,42.0,42,Manatee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=41&ddlYear=2016&selTab=1
Emergency Medical Service Responses to a Suspected Non-fatal Drug Overdose Including Opioids,Count,2016.0,222,416.0,"1,157",323.0,"2,118",Manatee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=41&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Emergency Department Visits,Count,2016.0,191,263.0,980,440.0,"1,874",Manatee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=41&ddlYear=2016&selTab=1
Opioid-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,97,151.0,868,308.0,"1,424",Manatee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=41&ddlYear=2016&selTab=1
Heroin-Involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,62,107.0,710,236.0,"1,115",Manatee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=41&ddlYear=2016&selTab=1
Stimulant-involved Non-fatal Overdose Emergency Department Visits,Count,2016.0,8,19.0,21,18.0,66,Manatee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=41&ddlYear=2016&selTab=1
All Drug Non-fatal Overdose Hospitalizations,Count,2016.0,80,115.0,159,109.0,463,Manatee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=41&ddlYear=2016&selTab=1
Opioid-involved Non-fatal Overdose Hospitalizations,Count,2016.0,29,41.0,89,41.0,200,Manatee,http://www.flhealthcharts.com/ChartsReports/rdPage.aspx?rdReport=SubstanceUseDashboard.SubstanceUseReport&ddlCounty=41&ddlYear=2016&selTab=1
